date,sea,htype,percent,water temperature,salt,temperature,air press,wind direction,wind speed,max wind,precipitation_busan,freq
2018-07-19,부산 오륙도 청사포,보름달물해파리_약독성,27.98,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-19,부산 오륙도,보름달물해파리_약독성,27.98,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-19,부산 가덕도,보름달물해파리_약독성,27.98,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-19,부산 동백섬,보름달물해파리_약독성,27.98,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-19,부산 기장 동수,노무라입깃해파리_강독성,9.84,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-19,부산 오륙도,노무라입깃해파리_강독성,9.84,21.32845238095238,31.956250000000004,26.20559523809524,1011.9277380952379,5.380952380952381,2.4024404761904763,3.2211309523809524,514.7819849,1
2018-07-26,부산 생도,노무라입깃해파리_강독성,13.73,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,1
2018-07-26,부산 영도 생도,노무라입깃해파리_강독성,13.73,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,2
2018-07-26,부산 가덕도,노무라입깃해파리_강독성,13.73,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,1
2018-07-26,부산 오륙도,노무라입깃해파리_강독성,13.73,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,1
2018-07-26,부산 동삼동,유령해파리_강독성,7.84,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,2
2018-07-26,부산 가덕도,보름달물해파리_약독성,28.43,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,1
2018-07-26,부산 고리원전,보름달물해파리_약독성,28.43,23.972650103519666,32.038778467908905,28.670980848861284,1009.0882893374743,5.357919254658385,2.5304347826086953,3.4548498964803316,514.7819849,1
